Content,Video title,Video publish time,Comments added,Shares,Likes,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Yrg6_i94VQA,[TF2] - Flight Denied #shorts,"Jun 4, 2023",1,0,2,11,0.0241,0,105,2.86
Zfm_gvR7NW0,[TF2] - Pan Power #shorts #tf2,"Aug 25, 2023",1,0,8,392,1.1855,0,1889,1.48
Zv9opkWXtFQ,DKD VS THE ARMY //  Unturned Part  2,"Apr 22, 2016",1,2,11,48,1.7449,0,219,1.37
_6klkaGI5KQ,[SFM] Bouncing ball animation test,"Aug 7, 2019",1,0,5,120,0.1127,0,1410,4.96
_XoERBx-EnU,[TF2] - Meet The Juggler #shorts #tf2,"Jul 31, 2023",1,0,4,313,0.8568,1,83,3.61
dUxMWiysbZc,donald duck iz a wamen hatr,"Sep 2, 2017",1,5,7,279,2.2826,0,1396,2.36
g_q6O69c9SQ,"They're in serious trouble and if I don't help them, then who will ?!",,1,0,1,20,0.569,0,15,6.67
gm5CaSj1DHA,[TF2] - Quadruple Donks And I'm Still A Failure #shorts,"Jun 16, 2023",1,0,25,1662,5.9992,0,179,1.12
gqSk2yEs1bo,DKD destroys a hacker,,1,1,2,5,0.0802,0,0,
igeZU__t2n0,#DumbKingDoughnut #ThankYou Hello World,"Sep 15, 2018",1,0,10,139,1.595,1,1164,3.35
j7ka2iz0mdI,Someone toucha ma spaget,"May 24, 2018",1,0,3,69,0.8965,0,592,3.38
j8PEpx4r3IA,REVENGE IS SWEET // Random TF2 Loadouts #2,"Feb 4, 2017",1,0,1,38,0.9764,0,142,3.52
jCa6MxhbnUE,[SFM] ALL MIGHT IS HERE @Animation,"Jun 23, 2020",1,8,13,158,0.48,3,1292,7.51
jdKSarXQfQk,TF2 - Sky High [A Demoman Montage],"Apr 25, 2024",1,5,6,54,0.5252,1,1907,1.89
l2v_z_NMFkg,my pull,,1,0,0,2,0.0494,0,0,
mF_UgZSulFg,AN EPIC HORROR GAME // Corpse Party Ch 1 Part 1,"May 2, 2016",1,0,6,67,1.1523,1,197,2.03
p2_uKyrAJPY,2017 Drama in a nutshell,"Sep 11, 2017",1,1,2,105,0.5576,0,345,1.45
prlDVkMMnIc,{ TF2 } 5 Tips for improving your aim as Sniper,"Dec 4, 2016",1,0,6,196,4.783,0,1262,6.42
q926emMiz-g,That's One Way To Get Rid Of Hilichurls | Genshin Impact #shorts #genshinimpact #funny,"Jul 6, 2023",1,1,37,1240,3.7732,5,195,2.05
r7G4lbipGYc,Amazing Market Gardening kill (w/Demoman),"Dec 24, 2015",1,0,5,60,0.6979,0,112,0
r96l49uMCGA,Vehemoth by DKD,"Feb 6, 2018",1,0,4,27,0.218,0,606,2.31
rDD1l9yTg-A,Meet the COCK heavy,"Dec 21, 2015",1,0,4,42,0.4845,0,385,3.38
tVpMzMc4mTg,{ TF2 } The Dispenser Ritual,"Dec 25, 2016",1,0,2,11,0.091,0,173,1.73
vBxNt04Ntqg,Classic sniper is classic //  Random TF2 loadouts,"Oct 7, 2016",1,0,3,50,0.6722,0,453,3.09
vPZuX_kZCUc,[TF2] - Soldier Gets Denied #shorts #tf2,"Jul 3, 2023",1,0,16,693,1.7081,1,1920,1.09
wEhD17Sp2w4,Where Did He Come From | Genshin Impact #genshinimpact  #shorts #funny,"Jun 11, 2023",1,0,42,1440,4.2618,1,169,1.78
wceoMME1mC8,[TF2] - He Bowlin #shorts #tf2,"Sep 14, 2023",1,0,4,95,0.2891,0,61,1.64
wepV3IIwvRc,I'M IN THE ZONE // Hot Throttle Part 1,"Jun 16, 2016",1,1,4,26,0.4652,0,174,1.15
whvrRCUqwGU,The Adventures of the Rocket Man {Trailer},"Aug 27, 2017",1,2,8,87,1.3001,0,541,0.74
xED4_bgKK34,Just #tf2 Moments VIII,"Jun 11, 2023",1,0,0,60,1.0186,0,1776,2.25
xGKfwvvP_Og,My army of wolves in Minecraft,"Sep 14, 2019",1,0,5,34,0.1363,0,835,2.63
xGxIQJGTFqQ,Just TF2 moments VII,"Sep 20, 2021",1,4,9,86,2.943,1,1041,4.51
xVVOwnT8rH4,Meet the Demoman But He's in Genshin Impact,"Dec 23, 2023",1,3,30,619,7.0575,0,11306,4.61
zYZmQ15IJu0,Pewdiepie green screen competition,,1,0,2,35,0.2162,0,10,0
zv1tj6vlpmU,{ TF2 } My best sniper clips,"Dec 17, 2016",1,0,3,31,0.8574,0,178,2.25
-8zPGXYmxHI,Hit him,,0,0,1,8,0.0343,0,17,0
 -I-wse-4cXE,Two Idiots Play Minecraft [Part 1],"Aug 5, 2020",0,1,5,40,1.0755,-1,741,3.51
 -NaI36T1JiE,[TF2] - Get Down Mr President #shorts,"Jun 7, 2023",0,1,9,470,1.6005,1,671,4.32
2G1sHddM7pM,animation practice,,0,0,1,3,0.0071,0,0,
2t4OkabdnfA,Sniper loses his mind,"Nov 21, 2015",0,1,4,53,0.1365,0,143,4.9
39upqbV9d14,{ TF2 Crafting Cermony } H.H.H.H,"Nov 3, 2016",0,1,5,157,0.8962,2,913,8.87
3GmeURcYnzw,PERVERT MORSHIGE // Corpse Party Ch.3 Part 2,"Sep 3, 2016",0,0,1,12,0.7297,0,172,3.49
4QHqP4VkXvU,{ TF2 } DKD and Valdus VS Saxton Hale,"Jul 5, 2017",0,0,3,31,1.045,0,324,1.54
4fMrFzymb_w,[SFM] Sad Scout Animation Test,"Aug 8, 2019",0,0,6,110,0.1081,0,1377,4.21
5YSsNYkTRVk,TF2 Two Ordinary Texans veg     VEGAS Pro 14 0 2020 07 07 22 05 16,,0,0,1,6,0.0413,1,0,
79S2nNnWa88,[TF2] - Flying Demoman #shorts,"May 24, 2023",0,0,14,1327,4.0286,0,815,1.35
7sGNEhI6yzs,Let's break some rules,"Sep 5, 2016",0,1,8,58,0.8807,0,414,2.17
8D9dD5IMD7w,Goofy Ahh Impact #shorts #genshinimpact #genshinmemes #genshinimpactedit,"Mar 4, 2024",0,0,2,4,0.0199,0,21,4.76
8g8pF6KABRs,Francesco burtalini #shorts #genshin #GenshinImpact #genshinimpact #memes  #gaming,"Dec 22, 2023",0,3,31,2497,5.6992,3,345,3.48
ARrH2co6l_g,#TF2 #DumbKingDoughnut FASTER THAN LIGHT BUT I NEED GAS,"Jul 31, 2020",0,2,3,43,1.5477,0,715,3.08
BnWDON1rLgA,WHO WILL DIE NEXT // Corpse Party CH.2 Part 2 ( End ),"Aug 17, 2016",0,0,2,15,0.1076,0,97,2.06
CT0sa4w2m_o,[TF2] - Another DoubleDonk Airshot #shorts #tf2,"Aug 4, 2023",0,0,6,710,2.1453,0,281,2.49
CrQtBGerDrg,The AWPer Hand ( Live commentary ),"Nov 20, 2015",0,0,4,45,1.2246,0,368,4.89
F_IwzCT68Sc,Trying to complete the medic contract ( Team Fortress 2 Gameplay ),"Nov 11, 2015",0,0,5,20,0.4053,0,126,0.79
HLcXggWdY0Q,DKD destroys a hacker,,0,0,1,2,0.0242,0,0,
I2-_u-HmI2Q,Lumine Gets Sent To The Backrooms | Genshin Impact #shorts #genshinimpact #funny,"Jun 13, 2023",0,0,11,295,0.7242,0,690,5.36
IhUN0Gdmf_k,Bro Wants To Start A Fight | Genshin Impact #shorts #genshinimpact #funny,"Jul 7, 2023",0,0,39,1518,5.137,5,88,2.27
JEYBmNlZj8k,QV commercial,,0,3,0,8,0.2503,0,12,0
JjYWjNFLNE4,#history #palestine #memes #shorts #israel,"Mar 13, 2024",0,1,5,475,1.2491,1,61,4.92
LZl2l2llyxY,[SFM] Scout Animation Test,"Sep 16, 2020",0,1,4,62,0.0688,1,942,3.61
M1p5Sshiy5A,When you see a thin boi in the streets,"Aug 31, 2020",0,4,7,56,0.0961,0,722,4.29
MrY0QHej6M8,demonite scene,,0,0,4,11,0.0236,0,8,0
Mt9WZ7I3Hp0,SO MUCH SUICIDE - Gear Up #2 ( w/ ValdusEZ ),"Jun 27, 2016",0,0,3,12,0.3024,0,106,2.83
N5WpcJywaBA,NEW CHARACTERS ARRIVE // Corpse Party Ch.3 Part 3 ( End ),"Sep 14, 2016",0,0,2,9,0.0609,0,137,0
NB5GQFI1rO0,"[TF2] - Demo Pans 3 People, Chuckles And Then D1es #shorts #tf2","Aug 7, 2023",0,0,23,1015,3.3126,2,200,2
NKExgCI2d6A,[TF2] - Two For One #shorts #tf2,"Jun 17, 2023",0,0,1,10,0.0464,0,190,2.11
NfzvtBLCtbE,What Disney thinks of Jake Paul,"Aug 31, 2017",0,0,4,149,0.6591,0,618,1.94
NvR0_NGNsjU,Happy bday Kiwi,,0,0,1,8,0.0289,0,25,0
PPVGpv27UKc,Tf2 - How to annoy someone,"Dec 6, 2015",0,0,4,61,0.8325,1,268,8.21
Plfu1MXiX9A,APYR,,0,1,2,9,0.0387,0,6,0
QP0FB4w4sHo,Stay and fight,,0,0,1,13,0.0848,0,36,2.78
R0SSiV6ub88,TWERKING ZOMBIES // Unturned Part 3,"May 8, 2016",0,0,5,31,0.9652,0,256,0
REP0EpHVx_0,How to die like a fool,"Mar 19, 2016",0,0,2,36,0.0583,0,343,1.75
Rae67MTbYcA,THIS HAS ESCALATED QUICKLY // Corpse Party Ch.4 Part 1,"Oct 23, 2016",0,0,2,19,0.3085,0,124,1.61
Sh1jYnQkV54,NAOMI YOU BITCH!!  // Corpse Party Ch. 1 Part 2 ( End ),"Jun 22, 2016",0,0,2,19,0.0877,0,143,1.4
TscILEzzgrg,Why was I away for a long time.........,"May 19, 2017",0,1,5,57,0.6448,0,129,3.1
TuZy897ZJXA,"Wrong Place, Wrong Time","Jul 3, 2016",0,0,4,16,0.0699,0,144,0.69
UI-HISJwxgQ,Just a bit yang #shorts #fyp #foryou,"Sep 26, 2022",0,1,4,363,1.0844,2,178,5.06
UQhqRKnnk7I,[TF2] - Never Run In A Straight Line #shorts #tf2,"May 23, 2023",0,0,16,1002,3.5845,2,487,1.85
UTWBXbMtDf4,I challenged myself to win 100 times | Genshin Impact TCG #shorts #genshinimpact #genshin,"Dec 21, 2022",0,3,7,98,0.6976,0,558,1.61
UVyzuTn_bfw,QV sunsense,,0,3,0,83,3.0341,0,7,0
